file_name,method_name,line_count,complexity,code_smell_detected
values_v2_test.py,testInitialValueGraph,3,1,False
values_v2_test.py,testConstraint,3,1,False
values_v2_test.py,testDenseUpdate,24,1,False
values_v2_test.py,testSparseUpdate,42,1,True
values_v2_test.py,testSparseNdUpdate,9,1,False
values_v2_test.py,testSparseRead,6,1,False
values_v2_test.py,testTensorConversion,3,1,False
values_v2_test.py,testHash,9,1,False
values_v2_test.py,testHashGraph,6,1,False
values_v2_test.py,testEquality,6,1,False
values_v2_test.py,testEqualityGraph,6,1,False
values_v2_test.py,testIteration,3,1,False
values_v2_test.py,testProperties,13,1,False
values_v2_test.py,testPropertiesGraph,5,1,False
values_v2_test.py,testProtoConversion,7,1,False
values_v2_test.py,testSaveSliceInfo,7,1,False
values_v2_test.py,testOperatorOverride,39,1,True
values_v2_test.py,testSlice,5,1,False
values_v2_test.py,testHandle,4,1,False
values_v2_test.py,testInGraphMode,4,1,False
values_v2_test.py,testUniqueId,5,1,False
values_v2_test.py,testIsResourceVariable,3,1,False
values_v2_test.py,testAsGraphElement,8,1,False
values_v2_test.py,create_variable,7,2,False
values_v2_test.py,create_variable,8,2,False
values_v2_test.py,assertReplica,3,2,False
values_v2_test.py,testRead,26,1,False
values_v2_test.py,testAssign,21,1,False
values_v2_test.py,testStrategyRun,19,3,False
values_v2_test.py,f,4,1,False
values_v2_test.py,read_device0,3,1,False
values_v2_test.py,read_device1,3,1,False
values_v2_test.py,read_other_device,3,1,False
values_v2_test.py,update_device0,3,1,False
values_v2_test.py,update_device1,3,1,False
values_v2_test.py,update,2,1,False
values_v2_test.py,read,2,1,False
checkpoint_options.py,__init__,64,7,True
checkpoint_options.py,__copy__,8,1,False
device_lib.py,list_local_devices,20,3,False
device_lib.py,_convert,4,1,False
imperative_grad.py,imperative_grad,45,2,True
zero_batch_test.py,testBNWithZeroBatchInputGraph,63,2,True
zero_batch_test.py,testBNWithZeroBatchInput,42,2,True
zero_batch_test.py,testBNWithDynamicBatchInputEager,39,2,True
zero_batch_test.py,step_fn,13,2,False
zero_batch_test.py,train_step,10,1,False
zero_batch_test.py,test_step,6,1,False
zero_batch_test.py,train_step,13,1,False
zero_batch_test.py,step_fn,7,1,False
zero_batch_test.py,step_fn,3,1,False
zero_batch_test.py,step_fn,9,1,False
one_device_strategy_test.py,testMinimizeLoss,5,2,False
one_device_strategy_test.py,testReplicaId,2,1,False
one_device_strategy_test.py,testCallAndMergeExceptions,2,1,False
one_device_strategy_test.py,testReplicateDataset,11,4,False
one_device_strategy_test.py,testMakeInputFnIteratorWithDataset,11,2,False
one_device_strategy_test.py,testMakeInputFnIteratorWithCallable,15,2,False
one_device_strategy_test.py,testNumpyDataset,2,1,False
one_device_strategy_test.py,testRun,2,1,False
one_device_strategy_test.py,testAllReduceSum,2,1,False
one_device_strategy_test.py,testAllReduceSumGradients,2,1,False
one_device_strategy_test.py,testAllReduceSumGradientTape,2,1,False
one_device_strategy_test.py,testAllReduceMean,2,1,False
one_device_strategy_test.py,testAllReduceMeanGradients,2,1,False
one_device_strategy_test.py,testAllReduceMeanGradientTape,2,1,False
one_device_strategy_test.py,testTrainableVariables,2,1,False
one_device_strategy_test.py,test_prefetch_to_device_dataset,20,3,False
one_device_strategy_test.py,test_prefetch_to_host_dataset,16,3,False
one_device_strategy_test.py,testDeviceAndInputDeviceAreColocated,2,1,False
one_device_strategy_test.py,testDeviceAndInputDeviceAreColocatedWithFunction,2,1,False
one_device_strategy_test.py,fn,4,1,False
per_replica_test.py,testTypeSpec,7,1,False
per_replica_test.py,testTypeSpecRoundTrip,9,1,False
per_replica_test.py,testTypeSpecNest,12,1,False
per_replica_test.py,testIsGraphTensor,4,2,False
per_replica_test.py,testDoesNotTriggerFunctionTracing,25,3,False
per_replica_test.py,testFunctionCanReturnPerReplica,7,1,False
per_replica_test.py,testCondWithTensorValues,10,1,False
per_replica_test.py,testCondWithValuesConvertibleToTensor,10,1,False
per_replica_test.py,testCondWithValuesNotConvertibleToTensor,8,1,False
per_replica_test.py,f,3,1,False
tpu_strategy_compilation_test.py,get_tpu_cluster_resolver,7,1,False
tpu_strategy_compilation_test.py,get_tpu_strategy,6,1,False
tpu_strategy_compilation_test.py,test_functions_compile_same_signature,27,3,False
tpu_strategy_compilation_test.py,return_one,6,1,False
tpu_strategy_compilation_test.py,return_two,6,1,False
tpu_strategy_compilation_test.py,computation,2,1,False
tpu_strategy_compilation_test.py,computation,2,1,False
multi_worker_test_base.py,_create_cluster,65,13,True
multi_worker_test_base.py,create_in_process_cluster,58,5,True
multi_worker_test_base.py,create_multi_process_cluster,22,1,False
multi_worker_test_base.py,create_cluster_spec,59,7,True
multi_worker_test_base.py,skip_if_grpc_server_cant_be_started,10,3,False
multi_worker_test_base.py,get_tf_config_task,2,1,False
multi_worker_test_base.py,get_tf_config_cluster_spec,2,1,False
multi_worker_test_base.py,get_task_type,2,1,False
multi_worker_test_base.py,get_task_index,2,1,False
multi_worker_test_base.py,is_chief,4,3,False
